releasedate, comments
February 20\textsuperscript{th} 2021, First major release
January 13\textsuperscript{th} 2022, Updated mechanical components list. Changed description method for each component. Extended introduction to communicate document goal better.
February 25\textsuperscript{th} 2022, Updated erroneous data in some components. Added filenames and links to robot parts.
